,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
068%,321.0,429.0,0.004176401869158878,0.021806853582554516,0.024922118380062305,2.6728971962616823,0.1730328703459189,0.3818424566088117,2.8564732077461697e-05,7.0323034993128665e-06,0.006037742730074642,0.01202984077324882,0.003115264797507788
065%,307.0,384.0,0.004087628536756722,0.019543973941368076,0.02280130293159609,2.501628664495114,0.16914332185203013,0.35737552349930196,1.9370165965676067e-05,6.92709429586841e-06,0.006313079532097595,0.01056626947375246,0.0032573289902280136
062%,293.0,327.0,0.0038220580672308196,0.017064846416382253,0.023890784982935155,2.2320819112627985,0.14670409369499948,0.3720136518771331,1.3495712460350321e-05,6.681180318099499e-06,0.00661472838346063,0.00911331236676565,0.0034129692832764514
059%,279.0,281.0,0.003622908125112813,0.014336917562724014,0.021505376344086023,2.014336917562724,0.13291936505740556,0.3357228195937873,7.4471690843435656e-06,6.722418148747428e-06,0.006930821127507257,0.008595661830421908,0.0035842293906810044
056%,265.0,230.0,0.0032875929102344197,0.01509433962264151,0.01509433962264151,1.7358490566037736,0.12895335435924993,0.3471698113207547,4.347948963775063e-06,6.40900743995473e-06,0.0053363770811678465,0.007101110268737923,0.0037735849056603774
053%,251.0,182.0,0.002900398406374502,0.01195219123505976,0.01593625498007968,1.450199203187251,0.12113601302762596,0.36254980079681276,2.624041984671755e-06,5.567083786379286e-06,0.0056340236115915415,0.005862087151039266,0.00398406374501992
050%,237.0,126.0,0.002252735464492598,0.012658227848101266,0.016877637130801686,1.0632911392405062,0.09568089856118239,0.26582278481012656,9.89042925984592e-07,4.235988708075874e-06,0.005966835132951373,0.006208370780214582,0.00421940928270042
047%,223.0,92.0,0.0018583606027552217,0.008968609865470852,0.008968609865470852,0.8251121076233184,0.0,0.4125560538116592,0.0,3.839399577468635e-06,0.006341434648024528,0.0,0.00448430493273543
044%,209.0,81.0,0.0018632683106367318,0.009569377990430622,0.009569377990430622,0.7751196172248804,0.0,0.3875598086124402,0.0,3.6002568214991553e-06,0.006766572068770788,0.0,0.004784688995215313
042%,195.0,65.0,0.001718213058419244,0.010256410256410256,0.010256410256410256,0.6666666666666666,0.0,0.3333333333333333,0.0,3.5814945381695152e-06,0.007252377242938871,0.0,0.005128205128205127
039%,181.0,55.0,0.0016881522406384285,0.011049723756906077,0.011049723756906077,0.6077348066298343,0.0,0.30386740331491713,0.0,3.4489685299858354e-06,0.007813334598746398,0.0,0.005524861878453046
036%,167.0,47.0,0.0016954043719789337,0.011976047904191617,0.011976047904191617,0.562874251497006,0.0,0.281437125748503,0.0,3.6344822918498624e-06,0.008468344684868822,0.0,0.00598802395209581
033%,153.0,40.0,0.0017199862401100791,0.013071895424836602,0.013071895424836602,0.5228758169934641,0.0,0.26143790849673204,0.0,3.870036381626671e-06,0.009243225897863357,0.0,0.006535947712418302
030%,139.0,34.0,0.0017724950474403086,0.014388489208633094,0.014388489208633094,0.4892086330935252,0.0,0.2446043165467626,0.0,3.3538609102924932e-06,0.010174198290453903,0.0,0.007194244604316545
027%,125.0,23.0,0.0014838709677419354,0.016,0.016,0.368,0.0,0.184,0.0,2.673810043661928e-06,0.01131370849898476,0.0,0.008
024%,111.0,18.0,0.0014742014742014742,0.018018018018018018,0.018018018018018018,0.32432432432432434,0.0,0.16216216216216217,0.0,2.974164792449199e-06,0.012740662724081942,0.0,0.009009009009008986
021%,97.0,16.0,0.001718213058419244,0.020618556701030927,0.020618556701030927,0.32989690721649484,0.0,0.16494845360824742,0.0,3.541797549664023e-06,0.014579521261578287,0.0,0.010309278350515472
018%,83.0,10.0,0.0014692918013517484,0.024096385542168676,0.024096385542168676,0.24096385542168675,0.0,0.12048192771084337,0.0,3.471364077301665e-06,0.017038717618952946,0.0,0.012048192771084345
015%,69.0,7.0,0.0014919011082693947,0.028985507246376812,0.028985507246376812,0.2028985507246377,0.0,0.10144927536231885,0.0,4.315921835103421e-06,0.02049584873004486,0.0,0.014492753623188399
