metric,global_measures
nodes,475.0
edges,1179.0
density,0.005236508994003997
strong_GC,0.9221052631578948
weak_GC,0.9789473684210527
avg_degree,4.96421052631579
global_c_mean,0.1905093058797798
global_cd_mean,0.1504306220095694
global_cb_mean,0.024181309242276346
global_cc_mean,4.694854901860601e-05
global_ce_mean,0.008299983319621129
global_ccc_mean,0.0230527321188522
global_cp_mean,0.002105263157894737
