,nodes,edges,density,strong_GC,weak_GC,avg_degree,global_c_mean,global_cd_mean,global_cb_mean,global_cc_mean,global_ce_mean,global_ccc_mean,global_cp_mean
059%,279.0,394.0,0.0050798071220443,0.06451612903225806,0.06810035842293907,2.824372759856631,0.1310820293778859,0.28243727598566315,0.0002269990226521473,1.0981793808516485e-05,0.006100758667087772,0.01052090815034358,0.0035842293906810044
056%,265.0,368.0,0.0052601486563750716,0.06792452830188679,0.07169811320754717,2.7773584905660376,0.13063608975757318,0.27773584905660376,0.0002583768671723331,1.1785216134823897e-05,0.0072281154341089305,0.008050729543844832,0.0037735849056603774
053%,251.0,332.0,0.0052908366533864545,0.07171314741035857,0.07569721115537849,2.645418326693227,0.13340973273580226,0.33067729083665337,0.00028064449031184503,1.1957528157696108e-05,0.006644539183007932,0.007649868149720037,0.00398406374501992
050%,237.0,296.0,0.005292140456268326,0.05063291139240506,0.08016877637130802,2.49789029535865,0.13134697183976493,0.31223628691983124,0.0002487062557725871,1.2075118944570876e-05,0.010186158029876073,0.006568463955780207,0.004219409282700421
047%,223.0,269.0,0.005433684805882116,0.053811659192825115,0.08520179372197309,2.412556053811659,0.154600860409527,0.4020926756352765,0.00025628777936876067,1.2872117510379882e-05,0.009860616175667126,0.003936374348933644,0.004484304932735426
044%,209.0,241.0,0.005543798306956202,0.05741626794258373,0.09090909090909091,2.3062200956937797,0.15487870886879931,0.3843700159489633,0.000262926750340938,1.3764089608958351e-05,0.010073802071322904,0.004200054927331113,0.004784688995215311
042%,195.0,212.0,0.005604017975151996,0.06153846153846154,0.09743589743589744,2.174358974358974,0.16539425070891145,0.43487179487179495,0.0002913223734761046,1.4508992817661208e-05,0.010953369295395244,0.0025180854580965652,0.005128205128205127
039%,181.0,186.0,0.00570902394106814,0.055248618784530384,0.10497237569060773,2.0552486187845305,0.15482008682992726,0.4110497237569061,0.00028893210009911145,1.5418339759020577e-05,0.01152100078504178,0.0027128544990543107,0.0055248618784530384
036%,167.0,158.0,0.005699444484524926,0.04790419161676647,0.11377245508982035,1.8922155688622755,0.15188442468018937,0.3784431137724551,0.00029841740396534423,1.6444674690272727e-05,0.015103125889719902,0.002940279427118744,0.005988023952095811
033%,153.0,137.0,0.005890952872377021,0.05228758169934641,0.06535947712418301,1.7908496732026145,0.13802047919223454,0.3581699346405229,0.00012273411746480863,1.6658158754624635e-05,0.011670339784057114,0.0032093246034564068,0.0065359477124183035
030%,139.0,107.0,0.005578146178709206,0.05755395683453238,0.05755395683453238,1.539568345323741,0.0,0.38489208633093525,0.00010845021221994159,1.6224578634048827e-05,0.0130629688950901,0.0,0.007194244604316546
027%,125.0,83.0,0.005354838709677419,0.048,0.056,1.328,0.0,0.332,8.549698400209809e-05,1.4435277736174377e-05,0.01348009698622897,0.0,0.008
024%,111.0,64.0,0.005241605241605242,0.05405405405405406,0.06306306306306306,1.1531531531531531,0.0,0.2882882882882883,0.00010744689643772214,1.5287578166877314e-05,0.019565534322633863,0.0,0.009009009009009016
021%,97.0,43.0,0.004617697594501718,0.041237113402061855,0.07216494845360824,0.8865979381443299,0.0,0.22164948453608246,0.00010851871947911017,1.4826783762318125e-05,0.017549611335961935,0.0,0.010309278350515472
018%,83.0,24.0,0.003526300323244196,0.024096385542168676,0.060240963855421686,0.5783132530120482,0.0,0.2891566265060241,2.9023047927935776e-05,1.3135231485946551e-05,0.017036350308217686,0.0,0.012048192771084345
015%,69.0,13.0,0.0027706734867860186,0.028985507246376812,0.043478260869565216,0.37681159420289856,0.0,0.18840579710144928,6.362051634411065e-06,1.2138760841455532e-05,0.019722052136496165,0.0,0.014492753623188425
